iter	Passed	Remaining
0	4	820
1	7	732
2	10	702
3	14	693
4	17	675
5	20	678
6	24	676
7	28	679
8	31	670
9	32	616
10	35	614
11	38	607
12	41	602
13	46	622
14	50	616
15	53	613
16	57	616
17	60	616
18	66	628
19	69	623
20	72	619
21	76	616
22	79	609
23	82	606
24	87	612
25	91	610
26	95	608
27	98	602
28	101	598
29	104	591
30	108	590
31	111	587
32	115	584
33	118	578
34	121	574
35	125	571
36	130	575
37	134	571
38	137	566
39	140	562
40	143	558
41	148	559
42	151	554
43	155	549
44	158	546
45	161	541
46	167	545
47	171	541
48	174	536
49	177	533
50	183	534
51	186	532
52	190	529
53	195	527
54	200	527
55	205	528
56	209	525
57	213	522
58	219	524
59	224	524
60	229	523
61	233	520
62	239	520
63	243	518
64	247	515
65	253	515
66	259	514
67	262	510
68	266	505
69	271	503
70	275	500
71	278	495
72	282	492
73	288	490
74	291	486
75	295	482
76	299	478
77	304	476
78	307	471
79	311	466
80	314	461
81	318	458
82	322	455
83	326	450
84	329	445
85	332	440
86	335	436
87	340	433
88	344	429
89	347	424
90	350	419
91	353	415
92	357	411
93	360	406
94	365	403
95	368	398
96	371	394
97	375	390
98	378	386
99	382	382
100	386	379
101	389	374
102	393	370
103	396	365
104	400	362
105	404	359
106	408	354
107	410	349
108	413	345
109	416	341
110	421	338
111	424	333
112	428	330
113	431	325
114	435	322
115	439	318
116	446	316
117	451	313
118	455	309
119	459	306
120	464	303
121	469	299
122	472	295
123	478	292
124	481	289
125	485	284
126	488	280
127	493	277
128	498	274
129	501	270
130	505	266
131	510	262
132	513	258
133	517	254
134	521	250
135	528	248
136	532	244
137	536	241
138	541	237
139	546	234
140	549	229
141	552	225
142	557	222
143	561	218
144	564	213
145	567	209
146	570	205
147	574	202
148	578	197
149	581	193
150	584	189
151	587	185
152	590	181
153	595	177
154	598	173
155	601	169
156	604	165
157	608	161
158	612	157
159	616	154
160	620	150
161	624	146
162	629	142
163	634	139
164	639	135
165	645	132
166	650	128
167	653	124
168	657	120
169	662	116
170	667	113
171	670	109
172	671	104
173	675	100
174	678	96
175	683	93
176	687	89
177	691	85
178	694	81
179	700	77
180	704	73
181	707	69
182	710	65
183	715	62
184	719	58
185	723	54
186	726	50
187	732	46
188	736	42
189	739	38
190	742	35
191	748	31
192	752	27
193	755	23
194	759	19
195	764	15
196	768	11
197	772	7
198	776	3
199	781	0
